TIME_STAMP	Qualcomm 5G-NR MAC UL DCI Info_Ver2[Per Slot] PCell UL DCI UL_DCI Slot Info BWP Ind
2022-03-02 17:40:11.371289	1
2022-03-02 17:40:11.372297	1
2022-03-02 17:40:11.374297	1
2022-03-02 17:40:11.378175	1
2022-03-02 17:40:11.380175	1
2022-03-02 17:40:11.383291	1
2022-03-02 17:40:11.386286	1
2022-03-02 17:40:11.389286	1
2022-03-02 17:40:11.389313	1
2022-03-02 17:40:11.392313	1
2022-03-02 17:40:11.395252	1
2022-03-02 17:40:11.398290	1
2022-03-02 17:40:11.401291	1
2022-03-02 17:40:11.402286	1
2022-03-02 17:40:11.404286	1
2022-03-02 17:40:11.408194	1
2022-03-02 17:40:11.410194	1
2022-03-02 17:40:11.413290	1
2022-03-02 17:40:11.416287	1
2022-03-02 17:40:11.419282	1
2022-03-02 17:40:11.419311	1
2022-03-02 17:40:11.422311	1
2022-03-02 17:40:11.425204	1
2022-03-02 17:40:11.428289	1
2022-03-02 17:40:11.431289	1
2022-03-02 17:40:11.432292	1
2022-03-02 17:40:11.434292	1
2022-03-02 17:40:11.438188	1
2022-03-02 17:40:11.440188	1
2022-03-02 17:40:11.443291	1
2022-03-02 17:40:11.446286	1
2022-03-02 17:40:11.449285	1
2022-03-02 17:40:11.449316	1
2022-03-02 17:40:11.452316	1
2022-03-02 17:40:11.455248	1
2022-03-02 17:40:11.802285	1
2022-03-02 17:40:11.808281	1
2022-03-02 17:40:11.814268	1
2022-03-02 17:40:11.818159	1
2022-03-02 17:40:11.820159	1
2022-03-02 17:40:11.823275	1
2022-03-02 17:40:11.826279	1
2022-03-02 17:40:11.829270	1
2022-03-02 17:40:11.829293	1
2022-03-02 17:40:11.832293	1
2022-03-02 17:40:11.838273	1
2022-03-02 17:40:11.841279	1
2022-03-02 17:40:11.842268	1
2022-03-02 17:40:11.844268	1
2022-03-02 17:40:11.850147	1
2022-03-02 17:40:11.853272	1
2022-03-02 17:40:11.856282	1
2022-03-02 17:40:11.859267	1
2022-03-02 17:40:11.859290	1
2022-03-02 17:40:11.862290	1
2022-03-02 17:40:11.868273	1
2022-03-02 17:40:11.872303	1
2022-03-02 17:40:11.874303	1
2022-03-02 17:40:11.878156	1
2022-03-02 17:40:11.880156	1
2022-03-02 17:40:11.883285	1
2022-03-02 17:40:11.889283	1
2022-03-02 17:40:11.892320	1
2022-03-02 17:40:11.898281	1
2022-03-02 17:40:11.902288	1
2022-03-02 17:40:11.904288	1
2022-03-02 17:40:11.908162	1
2022-03-02 17:40:11.910162	1
2022-03-02 17:40:11.913292	1
2022-03-02 17:40:11.919274	1
2022-03-02 17:40:11.922313	1
2022-03-02 17:40:11.928285	1
2022-03-02 17:40:11.934303	1
2022-03-02 17:40:11.940157	1
2022-03-02 17:40:11.943285	1
2022-03-02 17:40:11.949279	1
2022-03-02 17:40:11.952329	1
2022-03-02 17:40:11.958296	1
2022-03-02 17:40:11.964283	1
2022-03-02 17:40:11.968177	1
2022-03-02 17:40:11.970177	1
2022-03-02 17:40:11.973282	1
2022-03-02 17:40:11.979281	1
2022-03-02 17:40:11.982312	1
2022-03-02 17:40:11.988280	1
2022-03-02 17:40:11.994292	1
2022-03-02 17:40:12.000158	1
2022-03-02 17:40:12.003281	1
2022-03-02 17:40:12.009283	1
2022-03-02 17:40:12.012311	1
2022-03-02 17:40:12.018282	1
2022-03-02 17:40:12.024285	1
2022-03-02 17:40:12.030159	1
2022-03-02 17:40:12.033281	1
2022-03-02 17:40:12.039280	1
2022-03-02 17:40:12.042318	1
2022-03-02 17:40:12.048288	1
2022-03-02 17:40:12.054289	1
2022-03-02 17:40:12.060160	1
2022-03-02 17:40:12.063282	1
2022-03-02 17:40:12.069281	1
2022-03-02 17:40:12.072312	1
2022-03-02 17:40:12.078280	1
2022-03-02 17:40:12.084283	1
2022-03-02 17:40:12.090159	1
2022-03-02 17:40:12.093284	1
2022-03-02 17:40:12.099279	1
2022-03-02 17:40:12.102308	1
2022-03-02 17:40:12.108281	1
2022-03-02 17:40:12.114285	1
2022-03-02 17:40:12.120167	1
2022-03-02 17:40:12.123291	1
2022-03-02 17:40:12.129282	1
2022-03-02 17:40:12.132312	1
2022-03-02 17:40:12.138281	1
2022-03-02 17:40:12.144281	1
2022-03-02 17:40:12.150160	1
2022-03-02 17:40:12.153282	1
2022-03-02 17:40:12.159279	1
2022-03-02 17:40:12.162319	1
2022-03-02 17:40:12.168288	1
2022-03-02 17:40:12.174295	1
2022-03-02 17:40:12.180160	1
2022-03-02 17:40:12.183270	1
2022-03-02 17:40:12.189288	1
2022-03-02 17:40:12.192304	1
2022-03-02 17:40:12.198289	1
2022-03-02 17:40:12.204288	1
2022-03-02 17:40:12.210165	1
2022-03-02 17:40:12.213291	1
2022-03-02 17:40:12.219277	1
2022-03-02 17:40:12.222311	1
2022-03-02 17:40:12.228276	1
2022-03-02 17:40:12.234297	1
2022-03-02 17:40:12.240148	1
2022-03-02 17:40:12.243279	1
2022-03-02 17:40:12.249280	1
2022-03-02 17:40:12.252311	1
2022-03-02 17:40:12.258281	1
2022-03-02 17:40:12.264290	1
2022-03-02 17:40:12.270168	1
2022-03-02 17:40:12.273302	1
2022-03-02 17:40:12.279280	1
2022-03-02 17:40:12.282324	1
2022-03-02 17:40:12.288280	1
2022-03-02 17:40:12.294288	1
2022-03-02 17:40:12.300159	1
2022-03-02 17:40:12.303284	1
2022-03-02 17:40:12.309279	1
2022-03-02 17:40:12.312309	1
2022-03-02 17:40:12.318278	1
2022-03-02 17:40:12.324287	1
2022-03-02 17:40:12.330157	1
2022-03-02 17:40:12.333282	1
2022-03-02 17:40:12.339279	1
2022-03-02 17:40:12.342308	1
2022-03-02 17:40:12.348278	1
2022-03-02 17:40:12.354288	1
2022-03-02 17:40:12.360158	1
2022-03-02 17:40:12.363283	1
2022-03-02 17:40:12.369279	1
2022-03-02 17:40:12.372308	1
2022-03-02 17:40:12.378279	1
2022-03-02 17:40:12.384279	1
2022-03-02 17:40:12.390159	1
2022-03-02 17:40:12.393279	1
2022-03-02 17:40:12.399277	1
2022-03-02 17:40:12.402315	1
2022-03-02 17:40:12.408278	1
2022-03-02 17:40:12.414282	1
